,name,price,description
136,Farm stay in New Delhi,"₹14,393 ",Two Bedroom Farmstay with Pool & Lawn
137,Room in Delhi,"₹2,639 ",Architect's Haveli - Krishna Lodge
138,Flat in New Delhi,"₹2,328 ",AIR BNB Private Delhi Capital residency
139,Flat in New Delhi,"₹2,242 ",Fully furnished 1BHK
140,Home in New Delhi,"₹5,478 ",3bed 3bath|Prime Location|Airport-20min|SouthDelhi
141,Place to stay in Delhi,"₹2,571 ",A Chic & Bohemian style room  with WIFI & Terrace
142,Apartment in New Delhi,"₹3,602 ₹2,392 ","2 bhk apt- UGfloor,1st,2nd,3rd available for rent."
143,Room in New Delhi,"₹3,366 ",South Delhi Suite- Central Location
144,Flat in Mahipal Pur,"₹3,027 ",Lovely Garden facing Studio Apartment with Balcony
145,Apartment in Greater Kailash II,"₹2,478 ",private cosy 1BHK Studio fast WiFi+ private gym
146,Home in Greater Kailash I,"₹7,789 ₹6,861 ","Orchid-2BHK,*Lift*Help*Walk score99*2min metro"
147,Room in New Delhi,"₹1,883 ",The Van Gogh House in Delhi
148,Apartment in New Delhi,"₹2,374 ",Airport|Alexa|Parking|Serviced Kitchen|1000sq feet
149,Apartment in New Delhi,"₹5,135 ",Aquila Home 3 BHK Pvt Apartment with Nature view
150,Flat in Saket,"₹1,350 ",One bedroom Standard Apartment
151,Place to stay in New Delhi,₹842 ,Luxury Stay Near Airport/Aerocity/Dwarka/ Gurgaon/
152,Room in Rajinder Nagar,"₹2,511 ",Double Bed with Breakfast in Delhi
153,Apartment in Saket,₹958 ,1 Bedroom Hall Kitchen Apartment in South Delhi
154,Place to stay in Defence Colony,"₹1,384 ",Couple-friendly + southdelhi +Moolchand metro 2
155,Place to stay in New Delhi,"₹1,324 ",Transit comfortable stay
156,Room in Hauz Khas,"₹2,565 ",Artsy Luxurious room in SDA Wifi|Living|Kitchen
157,Flat in New Delhi,"₹1,554 ₹1,412 ",Where Else
158,Room in Defence Colony,"₹1,227 ",Non Ac Private & Pleasing Room in Posh South Delhi
159,Flat in Hauz Khas,"₹3,652 ",Boutique Cozy Chic Studio@Hauz Khas Village
160,Flat in Mahipal Pur,"₹3,101 ","Calm & Private, Tokyo studio, Vasant Kunj E2  ॐ"
161,Apartment in Ramesh Nagar,"₹1,904 ",Private 1-Bedroom Apartment with Balcony New Delhi
162,Room in Faridabad,"₹1,356 ",Under Neem Tree
163,Room in New Delhi,"₹3,390 ","""Ninho""- A Chic and Cosy private room in GK 2"
164,Place to stay in New Delhi,₹842 ,Luxury Stay Near Airport/Aerocity/Dwarka/ Gurgaon/
165,Apartment in Noida,"₹1,291 ",#2PvtStudioKitchnBath_CentrNoidaDelhiNCR_Metro650m
166,Room in New Delhi,"₹3,366 ",South Delhi Suite- Central Location
167,Guest house in New Delhi,"₹4,249 ",Elegant and Cozy Studio Apartment- 2
168,Room in New Delhi,"₹1,484 ",Spacious Bedroom with Terrace garden 2
169,Room in New Delhi,"₹4,565 ",Nina Kochhar's Homestay
170,Room in New Delhi,"₹2,511 ","Sunny, Airy, Huge Room & Balcony - 1 min frm Metro"
171,Room in New Delhi,"₹1,495 ","Amazing, charming room in  the heart of New Delhi."
172,Room in New Delhi,"₹2,511 ",Mint 2 - A Boutique Stylish Room
173,Flat in New Delhi,"₹6,276 ",Harphool Nivas 2 @Hauz Khas Village
174,Flat in New Delhi,"₹7,655 ₹5,520 ",Affordable Luxury South Delhi 4 Bedroom Apartment
175,Hotel room in New Delhi,"₹1,476 ","Private Room nr New Delhi stn, City Centre & VFS"
176,Room in Noida,"₹1,255 ",AD Country Villas (1st floor) Stay with Nature
177,Flat in New Delhi,"₹2,511 ",Cheebo Homes
178,Apartment in New Delhi,"₹2,274 ",private studio appartment in GK1 new delhi Gym
179,Apartment in New Delhi,"₹3,602 ₹2,392 ","2 bhk apt- UGfloor,1st,2nd,3rd available for rent."
180,Room in New Delhi,"₹1,643 ","Comfy & cozy stay,1min walk to metro,Free Parking"
181,Hotel in New Delhi,₹944 ,Hotel The Ocean
182,Flat in New Delhi,"₹2,967 ",Peacefulhuts|Airport|Alexa|Lift
183,Flat in New Delhi,"₹4,051 ",Couple-Friendly 1BHK fusion apartment in Jangpura Extension in heart of South Delhi
184,Flat in New Delhi,"₹3,428 ",Airport|New Delhi|3BHK|Kitchen
185,Room in New Delhi,"₹2,191 ",Terrace Flat with a view of Aravalli & Qutub Minar
186,Apartment in New Delhi,"₹3,311 ₹2,869 ",Living By The Greens (Ground Floor)
187,Hotel in Delhi,"₹1,335 ",Fully furnished AC Rooms with classy washroom.
188,Room in New Delhi,"₹3,693 ",Stay with Manica Studio Apartment - I
189,Room in New Delhi,"₹3,424 ",South Delhi Home with Beautiful Terrace: 3
190,Room in New Delhi,"₹1,597 ",Comfortable spacious room with terrace garden
191,Room in Noida,"₹1,739 ",ShortStay Standard
192,Boutique hotel in Gurugram,"₹1,986 ",Premium Studio Room with Balcony
193,Place to stay in Noida,"₹1,599 ",Beautiful luxurious private room in a lavish apmt
194,Hotel room in New Delhi,"₹1,476 ","Private Room nr New Delhi stn, City Centre & VFS"
195,Flat in New Delhi,"₹4,821 ",Quaint Penthouse - spread on 2700 sq ft
196,Home in New Delhi,"₹2,282 ",1 Bedroom Residential Sweet Home in heart of Delhi
197,Place to stay in New Delhi,"₹1,709 ",UMR Luxury Private Room - 1 Near IIT Delhi
198,Room in Delhi,"₹1,712 ",Nirvana Studio Homestaycations
199,Flat in New Delhi,"₹6,200 ₹4,960 ",Modern Jacuzzi Spa Tub 1BHK Suite South Delhi (3)
200,Room in New Delhi,"₹2,114 ","Pippin: small, cute, comfy, gk1, fully serviced!"
201,Holiday home in New Delhi,₹950 ,Budget stay & metro connectivity.
202,Boutique hotel in Shahabad Muhammadpur,"₹1,404 ",PrivateRoom with International Airport View
203,Home in Delhi,"₹2,775 ",Spacious/Independent/Modern/Equipped Kitchen/2BHK.
204,Room in New Delhi,"₹2,163 ","Yellow Submarine: double bed,gk2"
205,Flat in IN,"₹2,282 ",Suite with pool
206,Room in New Delhi,"₹1,765 ₹1,426 ",Private Room in New Delhi
207,Room in New Delhi,"₹4,451 ",sanjay puris room  one
208,Room in New Delhi,"₹3,195 ",Jugnoo
209,Shared room in New Delhi,"₹1,883 ",Sunny Room with Green View Bed1
210,Room in New Delhi,"₹1,489 ",Near Railway Station-Conaught Place-Pragati Maidan
211,Apartment in New Delhi,"₹4,599 ","The Qutub Studio, at the Qutub, Delhi"
212,Guest house in New Delhi,"₹1,771 ",Comfort Point Bed N Breakfast AC
213,Hotel in New Delhi,"₹1,414 ",affordable*approachable*comfort
214,Flat in Delhi,"₹2,271 ",Goel's Home
215,Flat in New Delhi,"₹3,237 ₹2,853 ",Cozy independent Regal terrace apartment
216,Home in New Delhi,"₹2,282 ",1 Bedroom Residential Sweet Home in heart of Delhi
217,Flat in New Delhi,"₹5,135 ",Harphool Nivas 3@ Hauz Khas Village
218,Room in Delhi,"₹1,939 ",Goel's Nest
219,Guest house in New Delhi,"₹1,771 ",Comfort Point Bed N Breakfast AC
220,Home in New Delhi,"₹1,368 ",2 Room Private House in Rohini
221,Room in Noida,"₹1,155 ",Quiet AC private GoodvibesOnly bedroom near Amity
222,Room in New Delhi,"₹1,799 ",B&B hotel near Karol Bagh metro station
223,Flat in Delhi,₹847 ₹696 ,1 RK Studio Flat
224,Room in New Delhi,"₹3,195 ",Jugnoo
225,Place to stay in New Delhi,"₹1,037 ",Room 1:-Beautiful room With terrace access
226,Room in New Delhi,"₹1,489 ",Near Railway Station-Conaught Place-Pragati Maidan
227,Room in New Delhi,"₹2,625 ",~NEW~ Cozy Stay in South Delhi w/ Private Bathroom
228,Room in Dwarka,"₹2,881 ",One room/Vacation Paradise/Near IGI Delhi Airport
229,Hotel in New Delhi,"₹2,362 ",Classic room - Near Delhi Aerocity Metro
230,Room in New Delhi,"₹1,643 ","Comfy & cozy stay,1min walk to metro,Free Parking"
231,Guest house in New Delhi,"₹2,000 ",Khirkee Nest - Uber Designer Studio
232,Home in New Delhi ,"₹2,282 ",ADB Monsoon Vibes - Your home away from home
233,Flat in New Delhi,"₹2,242 ",Fully furnished 1BHK
234,Apartment in New Delhi,"₹4,279 ",Rentabode- a cozy crash pad.
235,Apartment in New Delhi,"₹5,135 ",Aquila Home 3 BHK Pvt Apartment with Nature view
